Product Type,Platform,Keywords,Recommended Arch,Recommended UI,Color Mood,Key Features,Anti Patterns,Key Dependencies,Notes,Reference URL
Social Media,Flutter,"social media feed stories chat posts likes followers",BLoC + Firebase,Material3 + Custom Widgets,Energetic vibrant playful,Feed|Stories|Chat|Profile|Notifications|Search,Widget rebuild storm|No dispose|No pagination,flutter_bloc|firebase_core|cloud_firestore|cached_network_image,Use Firebase for real-time BLoC for state,https://firebase.google.com/docs/flutter/setup
Social Media,React Native,"social media feed stories chat posts likes followers",Zustand + React Query,React Native + Reanimated,Energetic vibrant playful,Feed|Stories|Chat|Profile|Notifications|Search,Re-render hell|No cleanup|Large bundle,zustand|@tanstack/react-query|react-native-reanimated|react-native-fast-image,Use Reanimated for animations FlashList for feed,https://zustand-demo.pmnd.rs/
Healthcare,Android,"healthcare medical health patient appointment doctor records",MVVM + Clean,Compose + Material3 + Accessibility,Calming blue-green + trust,Appointments|Records|Medications|Chat|Profile,Poor accessibility|No encryption|Missing error handling,Hilt|Room|Retrofit|EncryptedSharedPreferences|Health Connect,HIPAA compliance accessibility mandatory,https://developer.android.com/guide/topics/ui/accessibility
Healthcare,iOS,"healthcare medical health patient appointment doctor records",MVVM + Router,SwiftUI + Accessibility,Calming blue-green + trust,Appointments|Records|Medications|Chat|Profile,No VoiceOver|No encryption|Force unwrap,HealthKit|KeychainAccess|Charts,Accessibility mandatory support VoiceOver,https://developer.apple.com/documentation/healthkit
Healthcare,Flutter,"healthcare medical health patient appointment doctor records",Riverpod + Clean,Material3 + Accessible Theme,Calming blue-green + trust,Appointments|Records|Medications|Chat|Profile,No semantics|No secure storage|No validation,flutter_riverpod|dio|flutter_secure_storage|health,Add Semantics widgets proper form validation,https://riverpod.dev/
Healthcare,React Native,"healthcare medical health patient appointment doctor records",Context + React Query,React Native Paper + Accessible,Calming blue-green + trust,Appointments|Records|Medications|Chat|Profile,Missing accessibility props|No secure storage,@tanstack/react-query|react-native-keychain|react-native-health,Implement proper accessibility roles and labels,https://tanstack.com/query/latest
Delivery,Android,"delivery food logistics tracking map driver rider order",MVVM + Repository,Compose + Google Maps,Energetic orange + action,Orders|Tracking|Map|Profile|History|Ratings,No location optimization|Battery drain|No offline,Hilt|Retrofit|Room|Google Maps SDK|Location Services,Optimize location updates for battery,https://developers.google.com/maps/documentation/android-sdk
Delivery,iOS,"delivery food logistics tracking map driver rider order",MVVM-C,SwiftUI + MapKit,Energetic orange + action,Orders|Tracking|Map|Profile|History|Ratings,Continuous location drain|No caching|No offline,MapKit|CoreLocation|Combine,Use significant location changes when possible,https://developer.apple.com/documentation/mapkit
Delivery,Flutter,"delivery food logistics tracking map driver rider order",BLoC,Material3 + Google Maps,Energetic orange + action,Orders|Tracking|Map|Profile|History|Ratings,No battery optimization|setState for location,flutter_bloc|google_maps_flutter|geolocator|dio,Use geolocator with distance filter,https://pub.dev/packages/google_maps_flutter
Delivery,React Native,"delivery food logistics tracking map driver rider order",Redux Toolkit,React Native Maps,Energetic orange + action,Orders|Tracking|Map|Profile|History|Ratings,High frequency location updates|No background handling,@reduxjs/toolkit|react-native-maps|@react-native-community/geolocation,Optimize location polling frequency,https://github.com/react-native-maps/react-native-maps
Fitness,Android,"fitness workout exercise gym health tracker progress",MVVM + Repository,Compose + MPAndroidChart,Energetic green + motivating,Workouts|Progress|Nutrition|Social|Settings,No Health Connect|Memory leaks with sensors,Hilt|Room|Retrofit|Health Connect|MPAndroidChart,Integrate Health Connect for health data,https://developer.android.com/health-and-fitness/guides
Fitness,iOS,"fitness workout exercise gym health tracker progress",MVVM,SwiftUI + Charts,Energetic green + motivating,Workouts|Progress|Nutrition|Social|Settings,No HealthKit|Battery drain with tracking,HealthKit|Charts|CoreMotion|WidgetKit,Use HealthKit background delivery for updates,https://developer.apple.com/documentation/healthkit
Fitness,Flutter,"fitness workout exercise gym health tracker progress",Riverpod,Material3 + fl_chart,Energetic green + motivating,Workouts|Progress|Nutrition|Social|Settings,No health integration|No chart optimization,flutter_riverpod|health|fl_chart|dio,Use health package for cross-platform health data,https://pub.dev/packages/health
Fitness,React Native,"fitness workout exercise gym health tracker progress",Zustand,React Native + Victory Charts,Energetic green + motivating,Workouts|Progress|Nutrition|Social|Settings,No native health bridge|Poor chart performance,zustand|react-native-health|victory-native|react-native-reanimated,Bridge to HealthKit/Health Connect natively,
Education,Android,"education learning course video quiz student teacher",MVVM + Clean,Compose + ExoPlayer,Calm blue + learning,Courses|Videos|Quizzes|Progress|Certificates,No offline mode|No video caching|Poor DRM,Hilt|Room|Retrofit|ExoPlayer|WorkManager,Implement offline download with WorkManager,https://developer.android.com/media/media3/exoplayer
Education,iOS,"education learning course video quiz student teacher",MVVM-C,SwiftUI + AVKit,Calm blue + learning,Courses|Videos|Quizzes|Progress|Certificates,No offline|No picture-in-picture|No caching,AVKit|CoreData|CloudKit,Support PiP and AirPlay for video content,https://developer.apple.com/documentation/avkit
Education,Flutter,"education learning course video quiz student teacher",BLoC + Clean,Material3 + video_player,Calm blue + learning,Courses|Videos|Quizzes|Progress|Certificates,No offline|No video preloading|Widget rebuilds,flutter_bloc|video_player|dio|hive|flutter_cache_manager,Cache video content for offline viewing,https://pub.dev/packages/video_player
Education,React Native,"education learning course video quiz student teacher",Redux Toolkit,React Native Paper,Calm blue + learning,Courses|Videos|Quizzes|Progress|Certificates,No offline|Bundle size from video player,@reduxjs/toolkit|react-native-video|axios|react-native-fs,Pre-download content for offline access,https://github.com/TheWidlarzGroup/react-native-video
Chat,Android,"chat messaging instant real-time conversation group",MVI + Clean,Compose + WebSocket,Modern teal + communication,Messaging|Groups|Contacts|Calls|Media|Status,No message persistence|WebSocket leak|No pagination,Hilt|Room|OkHttp WebSocket|Coil|Firebase,Use Room for message cache WebSocket for real-time,https://developer.android.com/training/data-storage/room
Chat,iOS,"chat messaging instant real-time conversation group",TCA,SwiftUI + URLSessionWebSocketTask,Modern teal + communication,Messaging|Groups|Contacts|Calls|Media|Status,No local cache|Retain cycles|No pagination,ComposableArchitecture|CoreData|Nuke,Use CoreData for persistence URLSession for WebSocket,https://github.com/pointfreeco/swift-composable-architecture
Chat,Flutter,"chat messaging instant real-time conversation group",BLoC + Firebase,Material3 + Custom Bubbles,Modern teal + communication,Messaging|Groups|Contacts|Calls|Media|Status,No offline cache|setState for messages|Memory leaks,flutter_bloc|cloud_firestore|firebase_auth|hive,Use Firestore for real-time Hive for local cache,https://firebase.google.com/docs/firestore
Chat,React Native,"chat messaging instant real-time conversation group",Zustand + React Query,Gifted Chat + Custom,Modern teal + communication,Messaging|Groups|Contacts|Calls|Media|Status,No message persistence|WebSocket not cleaned up,zustand|socket.io-client|react-native-gifted-chat|watermelondb,Use WatermelonDB for local SQLite cache,https://watermelondb.dev/
Travel,Android,travel hotel flight booking map itinerary schedule reservation,MVVM + Clean Architecture,Compose + Google Maps + Material3,Wanderlust blue + sunset orange,Search|Booking|Map|Itinerary|Reviews|Offline,No offline mode|Blocking UI with network calls|No map caching,Hilt|Room|Retrofit|Google Maps SDK|WorkManager|Paging3,Offline-first for itineraries. Cache map tiles. Use Paging3 for search results.,https://developer.android.com/topic/architecture
Travel,iOS,travel hotel flight booking map itinerary schedule reservation,MVVM-C + SwiftUI,SwiftUI + MapKit,Wanderlust blue + sunset orange,Search|Booking|Map|Itinerary|Reviews|Offline,No MapKit optimization|Force unwrap API responses|No offline,SwiftData|MapKit|Combine|StoreKit,Use SwiftData for offline itineraries. MapKit annotations for POIs.,https://developer.apple.com/documentation/mapkit
Travel,Flutter,travel hotel flight booking map itinerary schedule reservation,BLoC + Clean,Material3 + Google Maps,Wanderlust blue + sunset orange,Search|Booking|Map|Itinerary|Reviews|Offline,No caching|setState for complex booking state|No error handling,flutter_bloc|google_maps_flutter|dio|hive|go_router,Use Hive for offline itinerary storage. Bloc for booking flow.,https://bloclibrary.dev/
Travel,React Native,travel hotel flight booking map itinerary schedule reservation,Zustand + React Query,React Native Maps + Paper,Wanderlust blue + sunset orange,Search|Booking|Map|Itinerary|Reviews|Offline,No offline sync|Re-render heavy maps|Memory leaks,zustand|@tanstack/react-query|react-native-maps|react-native-mmkv,MMKV for fast offline storage. React Query for search caching.,https://zustand-demo.pmnd.rs/
Music Streaming,Android,music streaming audio playlist song player background,MVI + Clean,Compose + Media3 + Custom Player,Vibrant purple + dark mode,Player|Playlists|Search|Library|Downloads|Equalizer,No background playback handling|Memory leaks with ExoPlayer|No audio focus,Hilt|Room|Retrofit|Media3 ExoPlayer|MediaSession|WorkManager,Use MediaSession for controls. Handle audio focus. Background playback service.,https://developer.android.com/media/media3
Music Streaming,iOS,music streaming audio playlist song player background,TCA,SwiftUI + AVFoundation + Custom,Vibrant purple + dark mode,Player|Playlists|Search|Library|Downloads|Equalizer,No background audio handling|No Now Playing info|Retain cycles,ComposableArchitecture|AVFoundation|MediaPlayer|CoreData,Set MPNowPlayingInfoCenter. Handle interruptions. Background audio mode.,https://github.com/pointfreeco/swift-composable-architecture
Music Streaming,Flutter,music streaming audio playlist song player background,BLoC + Clean,Material3 + Custom Audio Player,Vibrant purple + dark mode,Player|Playlists|Search|Library|Downloads|Equalizer,No background audio|No notification controls|Widget rebuild,flutter_bloc|just_audio|audio_service|hive|dio,Use audio_service for background playback. just_audio for player.,https://pub.dev/packages/just_audio
Music Streaming,React Native,music streaming audio playlist song player background,Redux Toolkit,React Native Paper + Custom,Vibrant purple + dark mode,Player|Playlists|Search|Library|Downloads|Equalizer,No background audio|No media controls|Memory leaks,@reduxjs/toolkit|react-native-track-player|react-native-fs,Use track-player for queue management and background playback.,https://rntp.dev/
News,Android,news article magazine feed read later offline categories,MVVM + Repository,Compose + Material3 + Paging3,Professional gray + accent red,Feed|Categories|Read Later|Search|Notifications|Offline,No pagination|No offline articles|Blocking main thread,Hilt|Room|Retrofit|Paging3|WorkManager|Coil,Paging3 for feed. Room for offline articles. WorkManager for sync.,https://developer.android.com/topic/libraries/architecture/paging/v3-overview
News,iOS,news article magazine feed read later offline categories,MVVM + Router,SwiftUI + Combine,Professional gray + accent red,Feed|Categories|Read Later|Search|Notifications|Offline,No pagination|Massive view controllers|No caching,SwiftData|Combine|Kingfisher|WidgetKit,SwiftData for offline. WidgetKit for headlines widget. Combine for reactive feed.,https://developer.apple.com/documentation/widgetkit
Real Estate,Android,real estate property listing map search filter house apartment,MVVM + Clean,Compose + Google Maps + Material3,Trust navy + premium gold,Listings|Map View|Search|Favorites|Virtual Tour|Calculator,No map clustering|Memory leaks with images|No filter optimization,Hilt|Room|Retrofit|Google Maps SDK|Coil|Paging3,Map clustering for listings. Coil for property images. Paging3 for search.,https://developers.google.com/maps/documentation/android-sdk/utility
Real Estate,iOS,real estate property listing map search filter house apartment,MVVM-C,SwiftUI + MapKit,Trust navy + premium gold,Listings|Map View|Search|Favorites|Virtual Tour|Calculator,No MapKit clustering|Poor image performance|No offline,MapKit|SwiftData|Kingfisher|ARKit,Use MapKit annotations with clustering. ARKit for virtual tours.,https://developer.apple.com/documentation/arkit
Ride Sharing,Android,ride sharing taxi cab driver passenger map route tracking,MVVM + Clean,Compose + Google Maps + Material3,Safety green + night dark,Map|Booking|Tracking|Payment|History|Rating,Excessive location polling|No battery optimization|No WebSocket handling,Hilt|Retrofit|Google Maps SDK|Location Services|OkHttp WebSocket,Fused location for efficiency. WebSocket for real-time tracking. Foreground service.,https://developer.android.com/develop/sensors-and-location/location
Ride Sharing,Flutter,ride sharing taxi cab driver passenger map route tracking,BLoC + Clean,Material3 + Google Maps Flutter,Safety green + night dark,Map|Booking|Tracking|Payment|History|Rating,No battery optimization|setState for location|No background service,flutter_bloc|google_maps_flutter|geolocator|web_socket_channel|dio,Geolocator with distance filter. WebSocket for driver tracking.,https://pub.dev/packages/geolocator
IoT Smart Home,Android,iot smart home device control automation sensor bluetooth wifi,MVVM + Repository,Compose + Material3 + Custom Controls,Modern teal + warm ambient,Devices|Rooms|Automation|Scenes|Notifications|Settings,No BLE handling|No offline device state|Polling instead of events,Hilt|Room|Retrofit|Bluetooth LE|MQTT|WorkManager,Use BLE for local control. MQTT for cloud. Room for device state cache.,https://developer.android.com/guide/topics/connectivity/bluetooth/ble-overview
IoT Smart Home,iOS,iot smart home device control automation sensor bluetooth wifi homekit,MVVM,SwiftUI + HomeKit,Modern teal + warm ambient,Devices|Rooms|Automation|Scenes|Siri|Settings,No HomeKit integration|No accessory pairing|Poor BLE handling,HomeKit|CoreBluetooth|CloudKit|WidgetKit,Use HomeKit for Apple ecosystem. CoreBluetooth for custom devices.,https://developer.apple.com/documentation/homekit
